wpi_number,main_port_name,alternate_port_name,unlocode,country_code,latitude,longitude
61932,Mega,,,JP,34.783332999999999,134.699999999999989
61935,Hannan Ko,,JPHAN,JP,34.466667000000001,135.349999999999994
61940,Takamatsu,,JPTAK,JP,34.350000000000001,134.050000000000011
61960,Komatsushima,,JPKOM,JP,34.016666999999998,134.599999999999994
61965,Tachibana,Anan,JPTBN,JP,33.866667000000000,134.666666999999990
61967,Shingu,,JPSHN,JP,33.666666999999997,135.983332999999988
61970,Kochi Ko,Koti,JPKCZ,JP,33.500000000000000,133.566666999999995
61980,Susaki Ko,,JPSUZ,JP,33.383333000000000,133.300000000000011
62010,Uwajima Ko,,JPUWA,JP,33.216667000000001,132.566666999999995
62020,Yawatahama,,JPYWH,JP,33.450000000000003,132.416666999999990
62030,Matsuyama,Mitsuhama,JPMYJ,JP,33.850000000000001,132.699999999999989
62060,Kikuma Ko,,JPKIK,JP,34.033332999999999,132.833333000000010
62065,Muturezima Ko,,JPMTR,JP,33.966667000000001,130.866667000000007
62070,Imabari Ko,Imabari,JPIMB,JP,34.066667000000002,133.016667000000012
62077,Takuma,,JPTKM,JP,34.216667000000001,133.683333000000005
62078,Tonda,,JPTND,JP,34.033332999999999,131.750000000000000
62079,Onoda,,JPOND,JP,34.000000000000000,131.183333000000005
62080,Niihama,,JPIHA,JP,33.983333000000002,133.283332999999999
62085,Mishima-Kawanoe Ko,,JPMKX,JP,34.000000000000000,133.550000000000011
62100,Marugame Ko,,JPMAR,JP,34.299999999999997,133.783332999999999
62110,Sakaide Ko,Sakaide,JPSKD,JP,34.333333000000003,133.849999999999994
62113,Yanai,,JPYAN,JP,33.950000000000003,132.133332999999993
62115,Tobata,,JPTBT,JP,33.916666999999997,130.816666999999995
62118,Hibikinada,,JBHBI,JP,33.933332999999998,130.833333000000010
62120,Wakamatsu Ko,,JPWAM,JP,33.899999999999999,130.816666999999995
62121,Yahata,Yawata,JPYWT,JP,33.866667000000000,130.816666999999995
62130,Kokura Ko,,JPKOK,JP,33.883333000000000,130.883332999999993
62140,Moji Ko,Kitak Yushu; Kitakyushu,JPMOJ,JP,33.950000000000003,130.966667000000001
62145,Kanda,,JPKND,JP,33.783332999999999,131.016667000000012
62150,Beppu,,JPBPU,JP,33.316667000000002,131.516667000000012
62160,Oita Ko,,JPOIT,JP,33.250000000000000,131.666666999999990
62165,Saganoseki Ko,,JPSAG,JP,33.250000000000000,131.866667000000007
62170,Tsukumi Ko,,JPTMI,JP,33.083333000000003,131.866667000000007
62175,Saiki Ko,,JPSAE,JP,32.966667000000001,131.933333000000005
62190,Hososhima Ko,,JPHSM,JP,32.433332999999998,131.666666999999990
62220,Kagoshima Ko,,JPKOJ,JP,31.583333000000000,130.566666999999995
62224,Shibushi Wan,,JPSBS,JP,31.466667000000001,131.099999999999994
62225,Kiire,,JPKII,JP,31.383333000000000,130.550000000000011
62250,Minamata Ko,Minamata,JPMIN,JP,32.200000000000003,130.383332999999993
62255,Yatsushiro Ko,,JPYAT,JP,32.500000000000000,130.533332999999999
62280,Misumi Ko,Kumamoto,JPMIS,JP,32.600000000000001,130.466667000000001
62290,Miike Ko,,JPMII,JP,33.000000000000000,130.416666999999990
62333,Matsu-Shima,,JPMTS,JP,32.933332999999998,129.599999999999994
62340,Aokata,,JPAOK,JP,32.983333000000002,129.066666999999995
62360,Nagasaki,,JPNGS,JP,32.716667000000001,129.849999999999994
62380,Sasebo,,JPSSB,JP,33.166666999999997,129.716667000000001
62400,Imari,,JPIMI,JP,33.283332999999999,129.883332999999993
62420,Karatsu,,JPKAR,JP,33.483333000000002,129.966667000000001
62430,Hakata,,JPHKT,JP,33.600000000000001,130.400000000000006
62440,Izuhara,,JPIZH,JP,34.200000000000003,129.300000000000011
62495,Kin Wan,Chin,JPKNN,JP,26.416667000000000,127.900000000000006
62497,Nishihara,,JPNHR,JP,26.216667000000001,127.799999999999997
62500,Naha Ko,,JPNAH,JP,26.216667000000001,127.683333000000005
62505,Nakagusuku,,JPNAK,JP,26.266667000000002,127.916667000000004
62510,Hirara Ko,,JPHRR,JP,24.800000000000001,125.283332999999999
62520,Ishigaki,,JPISG,JP,24.333333000000000,124.166667000000004
